Path,Git_Branch,Git_Commit,Purpose,Dependencies,Last_Known_Evidence,Reuse_Class,Reuse_Recommendation
"scripts/v41/report_v40_baseline_checkpoint.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Report v40 baseline checkpoint","Vivado checkpoint","Historical resource comparison","REFERENCE_ONLY","Reference only"
"scripts/v41/program_sram_once.tcl","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","One-shot SRAM programming","Vivado hardware manager/JTAG","Used in Phase 2 hardware campaign","REUSE_AFTER_REVALIDATION","Hardware action; procedure only, never automatic"
"scripts/v41/read_jtag_identity_done.tcl","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Read JTAG identity/DONE","Vivado hardware manager/JTAG","Historical preflight","REUSE_AFTER_REVALIDATION","Hardware action; procedure only"
"scripts/v41/write_evidence_manifest.ps1","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Write artifact hash manifest","PowerShell; evidence directory","Historical evidence publication","REUSE_AFTER_REVALIDATION","Reuse manifest idea outside source tree"
"host/v41/phase2_load_xdma_driver.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Load pinned official XDMA module","Linux; external dma_ip_drivers commit 8721136e...; compatible kernel","Driver/node PASS after environment repair","REUSE_AFTER_REVALIDATION","Pin exact source/module/kernel; guard against same-name in-tree platform driver"
"host/v41/phase2_remote_precheck.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Host/PCIe precheck","Linux shell; lspci/sysfs","Phase 2 PASS","REUSE_AFTER_REVALIDATION","Reuse environment checks"
"host/v41/phase2_remote_readiness.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Host readiness gate","Linux host and pinned driver","Phase 2 PASS","REUSE_AFTER_REVALIDATION","Stale environment assumptions must be refreshed"
"host/v41/phase2_v40_analyze_existing.sh; host/v41/phase2_v40_full_regression.sh; host/v41/quick_v40_sanity.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Frozen-v40 regression/oracle procedures","Linux host; v40 image/driver context","Historical v40 controls","REFERENCE_ONLY","Retain as regression intent, not a v41 DMA test"
"host/v41/phase2_xdma_validate.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Validate PCIe link, BARs, nodes, identity, scratch","Linux; pinned driver; MMIO tools","Phase 2 hardware PASS; DMA operations zero","REUSE_AFTER_REVALIDATION","Primary G4 host procedure; explicitly not G5 DMA proof"
"host/v41/phase3_xdma_control_validate.sh","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Validate control/status map","Linux; pinned driver; MMIO tools","Offline/precondition procedure; Phase 3 hardware blocked","REUSE_WITH_R1I_INTEGRATION","Update expected map for R1i 0x3600 page and revalidate"
"host/v41/xdma_axil_read.c","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Read AXI-Lite BAR values","Linux C tool; /dev/xdma*_user","Thousands of read-only accesses in evidence","REUSE_AFTER_REVALIDATION","Useful G3/G4 reader; validate offsets and device discovery"
"host/v41/xdma_axil_regtest.c","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Identity/scratch register test","Linux C tool; /dev/xdma*_user","Phase 2 scratch PASS","REUSE_AFTER_REVALIDATION","Update non-destructive policy and R1i expectations"
"scripts/v41/r1i_build.tcl","R1i current ref absent","20c3323d79d3896edc586d6db1df7deee60f9e41","Qualified R1i source/build/provenance harness","Vivado 2025.2; exact reconstructed tree","Routed timing/DRC and source-bit provenance PASS","REUSE_AS_IS","Use as the G3 golden build oracle"
"scripts/v41/r1i_vivado_portable_launch.ps1","R1i current ref absent","20c3323d79d3896edc586d6db1df7deee60f9e41","Portable R1i launcher","PowerShell; Vivado 2025.2","Qualified campaign PASS","REUSE_AFTER_REVALIDATION","Reuse exact script after environment-path review"
"scripts/v41/read_nvp_r1i.py","R1i current ref absent","20c3323d79d3896edc586d6db1df7deee60f9e41","Decode/read R1i MMIO telemetry","Python; XDMA user node or captured data","A1/B1 qualified hardware evidence","REUSE_AS_IS","Preserve decoder semantics for G3 regression"
"Missing DMA/throughput scripts","all inspected branches","N/A","C2H/H2C transfer, correctness, sustained-rate, loss/backpressure tooling","Not present","No evidence","UNKNOWN","New work is required in later gates; do not mislabel MMIO scripts as DMA tools"
