Asset_ID,Asset,Category,Local_Path,Git_Branch,Git_Commit,Evidence_Path,Last_Known_Result,Hardware_Verified,Current_Relevance,Reuse_Class,Recommended_Source,Conflict_With_R1i,Notes
"A014","BT.656/v40B record producer","Video/record","rtl/record/bt656_record_producer.sv","qualified R1i ancestry","20c3323d79d3896edc586d6db1df7deee60f9e41","v40 freeze and v41-nvp-r1i-r2-qualified-poc-hardware-evidence","SAV/video and record contract proven historically; R1i video present","YES","G3/G5/G6","REUSE_WITH_R1I_INTEGRATION","Qualified R1i tree","UNKNOWN","Preserve byte-exact 4,096-byte v40B record; loss/sequence accounting still needs the planned DMA semantics"
"A015","Capture mailbox/CDC","Video/CDC","rtl/record/capture_mailbox.sv; xdc/common/cdc.xdc","qualified R1i ancestry","20c3323d79d3896edc586d6db1df7deee60f9e41","Phase 1 routed CDC gates and R1i build","Routed/CDC gates PASS; no DMA ownership transfer","YES","G2/G3 and possible G5 basis","REUSE_AFTER_REVALIDATION","Qualified R1i implementation","UNKNOWN","Hierarchy-sensitive constraints must be rechecked after integration"
"A016","One physical video-channel capture","Video capture","rtl/top/ahd_capture_top_xdma.sv; rtl/video","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Normal video at 24.803727 Hz; one VDO1 input","YES","G3/G6 input side","REUSE_AS_IS","Qualified R1i source state","NO","This proves one capture input, not one-channel DMA"
"A017","One-channel DMA support","DMA","NOT_PRESENT","NONE","NONE","NONE","NOT_IMPLEMENTED; only one C2H engine is configured","NO","G6","UNKNOWN","NONE","NO","Requires the missing record-to-C2H application path and host validation"
"A018","Two-channel video/DMA support","Video/DMA","NOT_PRESENT","NONE","NONE","NONE","NOT_IMPLEMENTED","NO","G7","UNKNOWN","NONE","NO","Only one physical VDO input and one C2H channel exist; SLOT_COUNT and NVP channel-table values do not qualify as two-channel support"
"A019","Pinned official XDMA driver","Host driver","External dma_ip_drivers tree; loader under host/v41/phase2_load_xdma_driver.sh","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","docs/v41/phase2 and R1i public package","Driver commit 8721136e74a66500b02d16cb41922d966139cd46 loaded; expected nodes PASS","YES","G4/G5 host prerequisite","REUSE_AFTER_REVALIDATION","Same official pinned revision initially; validate against current kernel","NO","Driver source is not vendored in FPGA_AHD"
"A020","Host AXI-Lite identity/read tools","Host MMIO","host/v41/phase2_xdma_validate.sh; host/v41/xdma_axil_read.c; host/v41/xdma_axil_regtest.c","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","docs/v41/phase2 and R1i public package","Endpoint, identity, scratch, and read-only telemetry procedures passed","YES","G3/G4","REUSE_WITH_R1I_INTEGRATION","Base host procedures plus R1i read_nvp_r1i.py","YES","phase2_xdma_validate explicitly performs no DMA and must not be credited to G5"
"A021","Host C2H/H2C DMA tools","Host DMA","NOT_PRESENT_IN_FPGA_AHD","NONE","NONE","NONE","NO PROVEN DMA TOOL OR RUN","NO","G5/G6/G7","UNKNOWN","Official-driver examples may be a future reference only","NO","No repository packet checker, capture utility, or H2C-negative test exists"
"A022","Throughput generation/measurement tools","Throughput","NOT_PRESENT","NONE","NONE","NONE","NOT_IMPLEMENTED","NO","G8","UNKNOWN","NONE","NO","No bandwidth tool/evidence exists; 288 MB/s sustained payload exceeds current Gen1 x1 encoded ceiling of 250 MB/s before overhead"
"A023","Integrated Phase 1B build Tcl","Build","scripts/v41/phase1b_integrated_xdma_build.tcl","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","docs/v41/v40_1_0_resume/V41_PHASE1_V40_1_0_BASE_REPORT.md","Full route, timing, DRC, CDC, bus-skew, simulation, and resources PASS; pre-R1i","NO","G2","REUSE_WITH_R1I_INTEGRATION","Base script source list merged deliberately with R1i source set","YES","Do not assume the old source list captures R1i modules/tests"
"A024","Qualified R1i build and portable launch","Build","scripts/v41/r1i_build.tcl; scripts/v41/r1i_vivado_portable_launch.ps1","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (current ref absent)","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence/implementation","Build, route, timing, DRC, bitstream, and source-to-bit provenance PASS","YES","G2/G3","REUSE_AS_IS","Exact R1i scripts by published SHA-256","N/A","Initial regression procedure; qualified source branch object still must be recovered"
"A025","Dev Phase 3 provenance hardening","Build/provenance","scripts/v41/phase3_build.tcl","dev/v41-xdma-offline-next","8464af66611f7c22b8a36a4aab915d598eedda3f","Git commit 8464af6","Script-only SHA round-trip and PROVENANCE_ONLY preflight; no separate build/hardware result","NO","G2","REUSE_WITH_R1I_INTEGRATION","Dev script delta as secondary donor","YES","Useful hardening; compose with rather than substitute for the qualified R1i build flow"
"A026","One-shot SRAM programming Tcl","Programming","scripts/v41/program_sram_once.tcl","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","docs/v41/phase2","Used successfully under explicit hardware authorization","YES","Later gates only","REUSE_AFTER_REVALIDATION","Migrated base script","NO","Not executed in G-1; hardware use remains authorization-bound"
"A027","Active XDMA XDC set","Constraints","xdc/boards/current/{xdma_pcie,pins,vdo_input_timing,pcie_pio,nvp_control}.xdc; xdc/common/{cdc,configuration_bank}.xdc","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","R1i source provenance and final build report","All hashes unchanged; routed timing/DRC PASS and R1i hardware PASS","YES","G2/G3/G4","REUSE_AFTER_REVALIDATION","Exact R1i/donor files","NO","Physical PCIe/NVP/config files are strong; empirical VDO and hierarchy-sensitive CDC constraints require post-integration audit"
"A028","Legacy vendor PCIe XDC","Constraints","xdc/vendor/pcie.xdc","main","be94f88ee8d179f12928ab791bdae27c22cd1762","v40 historical evidence","Generated for stale xc7a15t legacy PIO core; deliberately inactive in XDMA build","NO","None for XDMA","REJECT","NONE","YES","Do not load into the XDMA top"
"A029","R1i qualified/retry/recovery telemetry","Diagnostics","rtl/v41/control_status_regs.sv; scripts/v41/read_nvp_r1i.py","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Read-only page and decoder passed simulation/hardware; counters supported frozen conclusion","YES","G3/G4/G9","REUSE_AS_IS","Exact R1i page, wiring, and decoder","N/A","Causal counters were zero; telemetry is valid but does not identify the exact mechanism"
"A030","Older D1/D2/D3 and 25 kHz diagnostic variants","Diagnostics","rtl/nvp and tests on release/archive/diag branches","multiple historical branches","multiple","corresponding public evidence campaigns","Mixed, ambiguous, offline-only, or failed NVP outcomes","PARTIAL","Historical analysis only","SUPERSEDED","Qualified R1i","YES","Do not reconstruct product behavior from failed intermediate experiments"
"A031","Qualified R1i focused regression suite","Tests","tests/v41/r1i_*; tests/python/test_nvp_r1i_tools.py","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Focused ACK/readiness, retry, bank safety, MMIO compatibility, and decoder fixtures PASS","YES","G3/G4","REUSE_AS_IS","Exact R1i tests and runner","N/A","Must be available with the recovered exact source state"
"A032","v40B golden record and Linux parser","Tests/protocol","tests/reference/one_line_uyvy_v40b.bin; tests/linux/v40b_parser.[ch]; docs/RECORD_PROTOCOL.md","main","be94f88ee8d179f12928ab791bdae27c22cd1762","v40 freeze and Phase 2 baseline evidence","Byte-exact 4,096-byte record contract and parser reference","YES","G3/G5/G6/G7","REUSE_AS_IS","Frozen main artifacts","NO","Transport-independent regression oracle; does not test DMA by itself"
"A033","Legacy PIO transport/core","PCIe/PIO","rtl/pio; rtl/vendor; ip/pcie/pcie_endpoint.xci","main","be94f88ee8d179f12928ab791bdae27c22cd1762","v40 freeze evidence","PIO endpoint and BAR capture historically proven; not XDMA","YES","Regression/reference only","REFERENCE_ONLY","Frozen v40 oracle","YES","Vendor PIO core/wrapper must not be used as the v41 XDMA implementation"
"A034","Evidence manifest writer","Evidence tooling","scripts/v41/write_evidence_manifest.ps1","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Historical phase manifests","Generic evidence hashing procedure used successfully","NO","All later gates","REUSE_AS_IS","Migrated base/dev identical script","NO","Use outside the source tree and sanitize before public publication"
