Path,Title,Date_if_Available,Git_Branch,Git_Commit,Topic,Project_Phase,Status,Correlated_Assessment
"docs/RECORD_PROTOCOL.md","Record protocol","UNKNOWN","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","4,096-byte v40B record layout","v41 data contract","CURRENT","Reusable record contract; no implemented AXI-Stream adapter proves it yet"
"docs/TRANSITION_TO_V41.md","Transition to v41","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Early v41 planning","planning","SUPERSEDED","Later phase reports and qualified R1i evidence supersede assumptions"
"docs/V40_KNOWN_LIMITATIONS_AND_OPERATIONAL_NOTES.md","v40 known limitations","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Operational limitations","v40 baseline","HISTORICAL","Regression context"
"docs/V40_KNOWN_VIDEO_PATTERN_CHARACTERISTIC.md","v40 known video pattern","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Expected video behavior","v40 baseline","CURRENT","Useful G3 visual/data regression oracle"
"docs/v40_1_0/D1_DIAGNOSTIC_TELEMETRY.md","D1 diagnostic telemetry","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","NVP observability","v40.1 D1","HISTORICAL","Telemetry ancestry; R1i adds qualified observability"
"docs/v40_1_0/D1_HARDWARE_CAMPAIGN_STATUS.md","D1 hardware campaign status","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","NVP hardware campaign","v40.1 D1","HISTORICAL","Failed/inconclusive campaign history"
"docs/v40_1_0/D2_CORRECT_BANK_BEHAVIOR.md","D2 correct bank behavior","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","NVP bank behavior","v40.1 D2","HISTORICAL","Bank-safety requirement remains relevant; implementation superseded by R1i"
"docs/v40_1_0/D2B_Z5_ALT_DIAGNOSTIC.md","D2B Z5 alternate diagnostic","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","NVP diagnostic experiment","v40.1 D2B","SUPERSEDED","Historical failed/alternate path"
"docs/v40_1_0/K1_D2_SOURCE_RECONSTRUCTION.md","K1 D2 source reconstruction","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Source provenance","v40.1 K1","HISTORICAL","Important migration provenance"
"docs/v40_1_0/K1_D2_SOURCE_RECONSTRUCTION_MATRIX.csv","K1 D2 source reconstruction matrix","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Source provenance","v40.1 K1","HISTORICAL","Machine-readable migration provenance"
"docs/v40_1_0/K1_D2_SOURCE_MANIFEST_SHA256.txt","K1 D2 source manifest","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Source hashes","v40.1 K1","HISTORICAL","Hash evidence"
"docs/v40_1_0/K2_Z9_INPUT_SYNCHRONIZATION.md","K2 Z9 input synchronization","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","CDC/input filtering","v40.1 K2","HISTORICAL","Technical ancestry of later qualified input-readiness behavior"
"docs/v40_1_0/K3_Z10_ZERO_BEHAVIOR_CHANGE_PROOF.md","K3 Z10 zero behavior change proof","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Zero-behavior-change claim","v40.1 K3","SUPERSEDED","R1i intentionally changes NVP/I2C behavior"
"docs/v40_1_0/Z0_NVP_ORIGINAL_BEHAVIOR_AND_DATASHEET_REPORT.md","Z0 original NVP behavior","2026-08","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Original behavior and datasheet study","v40.1 Z0","HISTORICAL","Causal/reference context only"
"docs/v41/GLOBAL_OPERATION_LEDGER.md","v41 global operation ledger","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","v41 execution chronology","all v41 phases","HISTORICAL","Useful chronology; claims require campaign corroboration"
"docs/v41/phase_m1/M1_XDMA_RESOURCE_MEASUREMENT.md","M1 XDMA resource measurement","2026-08","v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","XDMA OOC resources","Phase -1","HISTORICAL","OOC measurement is not integrated timing/fit proof"
"docs/v41/phase_m1/MISSING_ARTIFACTS.md","Phase -1 missing artifacts","2026-08","v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","Evidence gaps","Phase -1","HISTORICAL","Preserves known incompleteness"
"docs/v41/phase_m1/OPERATION_LEDGER.md","Phase -1 operation ledger","2026-08","v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","XDMA resource-spike chronology","Phase -1","HISTORICAL","Reference only"
"docs/v41/phase_m1/PHASE_REPORT.md","Phase -1 report","2026-08","v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","XDMA IP/resource feasibility","Phase -1","HISTORICAL","Early feasibility, not closure"
"docs/v41/phase0/V41_ARCHITECTURE_LOCK.md","v41 architecture lock","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","XDMA/stream architecture","Phase 0","HISTORICAL","Useful intended contract; does not prove implementation"
"docs/v41/phase0/V41_AXI_STREAM_CONTRACT.md","v41 AXI-Stream contract","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","C2H packet contract","Phase 0","CURRENT","4,096 bytes, 512 64-bit beats, TKEEP=FF, TLAST on beat 511, whole-record drop; planned only"
"docs/v41/phase0/V41_AXI_LITE_MAP_DRAFT.md","v41 AXI-Lite map draft","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","MMIO map","Phase 0","SUPERSEDED","Phase 3 register map and R1i overlay are later authorities"
"docs/v41/phase0/V41_DRIVER_KERNEL_PIN.md","v41 driver/kernel pin","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Linux/XDMA driver environment","Phase 0","HISTORICAL","Exact environment is useful but stale; external driver source not vendored"
"docs/v41/phase0/V41_RESET_PERST_ANALYSIS.md","v41 reset/PERST analysis","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","PCIe clock/reset","Phase 0","HISTORICAL","Correlates with dedicated active-low PERST configuration"
"docs/v41/phase0/V41_RESOURCE_BUDGET.md","v41 resource budget","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","A35T resource planning","Phase 0","SUPERSEDED","R1i routed utilization is the relevant current capacity datum"
"docs/v41/phase0/OFFICIAL_REFERENCE_INDEX.md","Phase 0 reference index","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","External references","Phase 0","HISTORICAL","Reference routing only"
"docs/v41/phase0/PHASE_REPORT.md","Phase 0 report","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Architecture acceptance","Phase 0","HISTORICAL","Includes stale BAR/frequency claims later corrected by hardware/XCI evidence"
"docs/v41/phase0/OPERATION_LEDGER.md","Phase 0 operation ledger","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Execution chronology","Phase 0","HISTORICAL","Chronology only"
"docs/v41/phase0/MISSING_ARTIFACTS.md","Phase 0 missing artifacts","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Evidence gaps","Phase 0","HISTORICAL","Preserves missing-proof boundaries"
"docs/v41/phase1/PHASE_REPORT.md","Phase 1 report","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Integrated XDMA route/timing","Phase 1","HISTORICAL","Full route/timing/DRC/CDC pass before R1i; stale 125 MHz prose is superseded by 62.5 MHz evidence"
"docs/v41/phase1/PHASE1A_REPORT.md","Phase 1A report","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","VDO timing correction","Phase 1A","HISTORICAL","Useful timing derivation and routed evidence"
"docs/v41/phase1/PHASE1B_REPORT.md","Phase 1B report","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Integrated control-register correction","Phase 1B","HISTORICAL","Functional donor evidence"
"docs/v41/phase1/PHASE1A_CORRECTION_LEDGER.md","Phase 1A correction ledger","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Timing corrections","Phase 1A","HISTORICAL","Change chronology"
"docs/v41/phase1/PHASE1B_CORRECTION_LEDGER.md","Phase 1B correction ledger","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Register integration corrections","Phase 1B","HISTORICAL","Change chronology"
"docs/v41/phase1/V41_VDO_INPUT_TIMING_DERIVATION.md","VDO input timing derivation","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","VDO input timing","Phase 1A","CURRENT","Reusable derivation, but empirical assumptions need board/population revalidation"
"docs/v41/phase1/OPERATION_LEDGER.md","Phase 1 operation ledger","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Build chronology","Phase 1","HISTORICAL","Chronology only"
"docs/v41/phase1/MISSING_ARTIFACTS.md","Phase 1 missing artifacts","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Evidence gaps","Phase 1","HISTORICAL","Preserves scope limits"
"docs/v41/phase2/PHASE_REPORT.md","Phase 2 report","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","PCIe/MMIO hardware acceptance","Phase 2","CURRENT","Best donor evidence for enumeration, driver, BARs, identity and scratch; explicitly no DMA"
"docs/v41/phase2/PHASE2_HARDWARE_GATE.md","Phase 2 hardware gate","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Hardware acceptance criteria/results","Phase 2","CURRENT","Authoritative scope statement for PCIe/MMIO proof"
"docs/v41/phase2/PHASE2_HARDWARE_RUNBOOK.md","Phase 2 hardware runbook","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Programming/driver/MMIO procedure","Phase 2","HISTORICAL","Reuse only after host/tool revalidation"
"docs/v41/phase2/PHASE2_BITSTREAM_IDENTITY.md","Phase 2 bitstream identity","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Bit/source provenance","Phase 2","HISTORICAL","Evidence anchor for donor, not an R1i bitstream"
"docs/v41/phase2/PHASE2_CORRECTION_LEDGER.md","Phase 2 correction ledger","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Hardware-gate corrections","Phase 2","HISTORICAL","Change chronology"
"docs/v41/phase2/PRE_HARDWARE_GATE.md","Phase 2 pre-hardware gate","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Preconditions","Phase 2","HISTORICAL","Procedure provenance"
"docs/v41/phase2/PRE_HARDWARE_FINAL_RECHECK.md","Phase 2 final recheck","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Pre-run evidence","Phase 2","HISTORICAL","Procedure provenance"
"docs/v41/phase2/NEW_HOST_PLATFORM_DELTA.md","New host platform delta","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Linux host migration","Phase 2","HISTORICAL","Environment-specific, must be revalidated"
"docs/v41/phase2/NEW_HOST_HARDENING.md","New host hardening","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Host reliability","Phase 2","HISTORICAL","Procedure ideas reusable; state is stale"
"docs/v41/phase2/NEW_HOST_MIGRATION_B7_REPLAY.md","New host B7 replay","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Host replay evidence","Phase 2","HISTORICAL","Single environment record"
"docs/v41/phase2/OPERATION_LEDGER.md","Phase 2 operation ledger","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Hardware chronology","Phase 2","HISTORICAL","Corroborates report"
"docs/v41/phase2/MISSING_ARTIFACTS.md","Phase 2 missing artifacts","2026-08","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Evidence gaps","Phase 2","HISTORICAL","Preserves proof boundary"
"docs/v41/phase3/AXI_LITE_REGISTER_MAP.md","Phase 3 AXI-Lite register map","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Current donor MMIO map","Phase 3","CURRENT","Supersedes Phase 0 draft; R1i adds 0x3600..0x367f without changing through 0x35ff"
"docs/v41/phase3/PHASE_REPORT.md","Phase 3 report","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Offline Phase 3 results","Phase 3","HISTORICAL","Corrected offline build passed but hardware gate was blocked; no DMA"
"docs/v41/phase3/PHASE3_CORRECTION_LEDGER.md","Phase 3 correction ledger","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Phase 3 corrections","Phase 3","HISTORICAL","Includes corrected 62.5 MHz understanding"
"docs/v41/phase3/PHASE3_POST_COLD_V40_BLOCKER.md","Phase 3 post-cold v40 blocker","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","NVP/hardware blocker","Phase 3","HISTORICAL","Explains why the image was not programmed"
"docs/v41/phase3/PHASE3_R4_SSH_BLOCKER.md","Phase 3 R4 SSH blocker","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Host-access blocker","Phase 3","HISTORICAL","Operational blocker record, not RTL evidence"
"docs/v41/phase3/OPERATION_LEDGER.md","Phase 3 operation ledger","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Execution chronology","Phase 3","HISTORICAL","Chronology only"
"docs/v41/phase3/MISSING_ARTIFACTS.md","Phase 3 missing artifacts","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Evidence gaps","Phase 3","HISTORICAL","Explicitly records absent hardware/DMA proof"
"docs/v41/v40_1_0_resume/V41_V40_1_0_MIGRATION_REPORT.md","v40.1-to-v41 migration report","2026-08","v41/xdma-v40.1.0-base","3a5e80a","XDMA replay onto v40.1","migration","CURRENT","Best narrative for why the migrated donor supersedes old v41"
"docs/v41/v40_1_0_resume/V41_V40_1_0_MIGRATION_MATRIX.csv","v40.1-to-v41 migration matrix","2026-08","v41/xdma-v40.1.0-base","3a5e80a","Path-level migration","migration","CURRENT","Machine-readable donor provenance"
"docs/v41/v40_1_0_resume/V41_V40_1_0_MIGRATION_GATE.txt","v40.1-to-v41 migration gate","2026-08","v41/xdma-v40.1.0-base","3a5e80a","Migration acceptance","migration","HISTORICAL","Acceptance record"
"docs/v41/v40_1_0_resume/V41_V40_1_0_POLICY.md","v40.1-to-v41 migration policy","2026-08","v41/xdma-v40.1.0-base","3a5e80a","Migration policy","migration","HISTORICAL","Useful G0 review constraint"
"docs/v41/v40_1_0_resume/V41_PHASE_MINUS1_V40_1_0_BASE_REPORT.md","Migrated Phase -1 report","2026-08","v41/xdma-v40.1.0-base","b57f374b5be801ee86fdfa20fcc990cf74344513","XDMA asset replay","migration Phase -1","HISTORICAL","Documents exact migration ancestry"
"docs/v41/v40_1_0_resume/V41_PHASE0_V40_1_0_BASE_REPORT.md","Migrated Phase 0 report","2026-08","v41/xdma-v40.1.0-base","8f5fd0f","Architecture replay","migration Phase 0","HISTORICAL","Documents exact migration ancestry"
"docs/v41/v40_1_0_resume/V41_PHASE1_V40_1_0_BASE_REPORT.md","Migrated Phase 1 report","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Integrated build acceptance","migration Phase 1","CURRENT","Correlates exact functional tree c54368c7e830904505ca58da7bb57ef62c3635dc"
"docs/v41/v40_1_0_resume/V41_PHASE1_MIGRATION_DIFF.md","Phase 1 migration diff","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Donor change map","migration Phase 1","CURRENT","Useful R1i comparison input"
"docs/v41/v40_1_0_resume/V41_PHASE1_RESOURCE_MATRIX.csv","Phase 1 resource matrix","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Resources","migration Phase 1","HISTORICAL","Predates R1i; current headroom must use R1i routed figures"
"docs/v41/v40_1_0_resume/V41_PHASE1_TIMING_DRC_GATE.txt","Phase 1 timing/DRC gate","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Timing/DRC acceptance","migration Phase 1","HISTORICAL","Build evidence, not hardware evidence"
"docs/v41/v40_1_0_resume/V41_PHASE0_ARTIFACT_MANIFEST_SHA256.txt","Migrated Phase 0 hashes","2026-08","v41/xdma-v40.1.0-base","8f5fd0f","Artifact identity","migration Phase 0","HISTORICAL","Hash evidence"
"docs/v41/v40_1_0_resume/V41_PHASE0_GATE.txt","Migrated Phase 0 gate","2026-08","v41/xdma-v40.1.0-base","8f5fd0f","Acceptance","migration Phase 0","HISTORICAL","Gate record"
"docs/v41/v40_1_0_resume/V41_PHASE1_ARTIFACT_MANIFEST_SHA256.txt","Migrated Phase 1 hashes","2026-08","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Artifact identity","migration Phase 1","HISTORICAL","Hash evidence"
"docs/v41/v40_1_0_resume/V41_PHASE2_RESUME_PLAN.md","Phase 2 resume plan","2026-08","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Next-step planning","migration Phase 2","SUPERSEDED","Later Phase 2 acceptance report records actual result"
"tests/linux/README.md","Linux test README","UNKNOWN","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Legacy/host tests","test documentation","HISTORICAL","No XDMA DMA-transfer procedure"
"tests/pio/README.md","PIO test README","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Legacy PCIe PIO tests","test documentation","SUPERSEDED","Reference only for legacy endpoint"
"tests/reference/README.md","Golden record README","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Golden one-line record","test documentation","CURRENT","Reusable regression reference"
