Source_File,Hierarchy,Functional_Role,G2A_or_G2B,Estimated_LUT,Estimated_FF,Estimated_BRAM,Product_Required,R1i_Required,Rtrack_Required,Diagnostic_Only,Removal_Risk,Notes
rtl/nvp/nvp6134c_autoinit.vhd,NVP_AUTOINIT_WRAPPER,"qualified initialization wrapper",G2A_AND_G2B,DERIVED_G2B:34,DERIVED_G2B:31,0,YES,YES,NO,NO,PROHIBITED,"Difference between NVP_AUTOINIT and u_sequence rows"
rtl/nvp/nvp6134c_i2c_bringup.vhd,NVP_AUTOINIT/u_sequence_direct,"qualified R1i SCL/ACK/retry fix plus embedded telemetry",G2A_AND_G2B,MEASURED_G2B:3046,MEASURED_G2B:2183,0,YES,YES,YES,NO,HIGH,"Mixed source: functional state/control must stay; research counters can only be selected after fanout and MMIO proof"
rtl/nvp/nvp6134c_diagnostics_pkg.vhd,INLINED_IN_NVP,"NVP operation/init data despite diagnostics name",G2A_AND_G2B,ESTIMATED:INCLUDED_IN_NVP,ESTIMATED:INCLUDED_IN_NVP,0,YES,YES,NO,NO,PROHIBITED,"Name is not classification; package supplies functional bring-up content"
rtl/nvp/r1f_transaction_serial_counter.vhd,R1F_TRANSACTION_SERIAL,"serial used to correlate diagnostic histories",G2A_AND_G2B,MEASURED_G2B:55,MEASURED_G2B:33,0,NO,NO,YES,YES,MEDIUM,"Candidate profile logic if all product counters and compatibility semantics are preserved"
rtl/v41/nvp_i2c_tri_phase_probe.sv,POST_INIT_TRI_PHASE_PROBE_DIRECT,"post-init three-phase research campaign and aggregate statistics",G2A_AND_G2B,MEASURED_G2B:2067,MEASURED_G2B:2931,0,NO,NO,YES,YES,LOW_AFTER_APPROVAL,"Parent hierarchy with index store is 2092 LUT/2934 FF/3 RAMB18"
rtl/v41/r1h_probe_index_bram_store.sv,POST_INIT_TRI_PHASE_PROBE_CHILD,"three 512-entry reached-index histories",G2A_AND_G2B,DERIVED_G2B:25,DERIVED_G2B:3,MEASURED:3_RAMB18,NO,NO,YES,YES,LOW_AFTER_APPROVAL,"Derived child difference; restoration belongs in RESEARCH_DIAGNOSTIC"
rtl/v41/r1f_failed_txn_logger.sv,R1F_FAILED_TXN_LOGGER,"64 deep failed-transaction records",G2A_AND_G2B,MEASURED_G2B:106,MEASURED_G2B:81,MEASURED:6_RAMB18,NO,NO,YES,YES,LOW_AFTER_APPROVAL,"RAM primitives flatten to top; no product-control fanout identified"
rtl/v41/r1h_mmio_read_service.sv,R1H_MMIO_READ_SERVICE,"synchronous read service for research BRAM histories",G2A_AND_G2B,MEASURED_G2B:103,MEASURED_G2B:71,0,NO,NO,YES,YES,MEDIUM,"Requires compatibility responder/version decision before PRODUCT exclusion"
rtl/v41/r1e_measurement_regs.sv,FLATTENED_MIXED_MMIO,"R1e legacy identity/status and research measurement readout",G2A_AND_G2B,ESTIMATED:IN_BRIDGE_AND_CONTROL,ESTIMATED:IN_BRIDGE_AND_CONTROL,0,PARTIAL,NO,YES,NO,HIGH,"Keep identity/product status; profile-select research-only fields after address-contract approval"
rtl/v41/axi_clock_lifecycle_monitor.sv,LIFECYCLE_MONITOR,"AXI/link/reset campaign timestamps and ordering",G2A_AND_G2B,MEASURED_G2B:89,MEASURED_G2B:311,0,PARTIAL,NO,YES,YES,MEDIUM,"Keep in diagnostic profile; product keeps reset epoch/transport status elsewhere"
rtl/v41/r1f_measurement_regs.sv,FLATTENED_MIXED_MMIO,"diagnostic register decode/mux for R1f/R1h measurements",G2A_AND_G2B,ESTIMATED:IN_BRIDGE_AND_CONTROL,ESTIMATED:IN_BRIDGE_AND_CONTROL,0,NO,NO,YES,YES,HIGH,"Exact file cost unavailable; profile must preserve legacy response/latency policy"
rtl/v41/control_status_regs.sv,CONTROL_STATUS_REGS_AND_BRIDGE,"product status plus diagnostic page selection",G2A_AND_G2B,"MEASURED_G2B_HIER:1; REPARTITIONED",MEASURED:65,0,YES,YES,YES,NO,HIGH,"Most decode optimized/repartitioned into bridge; do not delete wholesale"
rtl/v41/nvp_i2c_address_probe.sv,NO_ACTIVE_HIERARCHY,"superseded legacy address-only research probe",G2A_AND_G2B,MEASURED_ACTIVE:0,MEASURED_ACTIVE:0,MEASURED_ACTIVE:0,NO,NO,YES,YES,LOW,"Not in current G2A/G2B build source list; legacy outputs are supplied by tri-phase implementation"
ip/ila/*.xci;ip/vio/*.xci,NO_ACTIVE_HIERARCHY,"catalog/debug helper sources",G2A_AND_G2B,MEASURED_ACTIVE:0,MEASURED_ACTIVE:0,MEASURED_ACTIVE:0,NO,NO,NO,YES,LOW,"No ILA/VIO hierarchy and no generated .ltx; source presence is not active cost"
