RelativePrivateAddress,CH1_Working_Bank5,CH3_Working_Bank7,CH2_Failing_Bank6,CH4_Failing_Bank8,SequenceRelation,FinalStateRelation,ExactCH1CH3_vs_CH2CH4Pattern,Why,HighImpactClass,Confidence
0x00,0xC0,SYM_B07_00_UNWRITTEN_RESET_DEFAULT,SYM_B06_00_UNWRITTEN_RESET_DEFAULT,SYM_B08_00_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x2A,0x30,SYM_B07_2A_UNWRITTEN_RESET_DEFAULT,SYM_B06_2A_UNWRITTEN_RESET_DEFAULT,SYM_B08_2A_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x2B,0xA8,SYM_B07_2B_UNWRITTEN_RESET_DEFAULT,SYM_B06_2B_UNWRITTEN_RESET_DEFAULT,SYM_B08_2B_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x47,0x04,SYM_B07_47_UNWRITTEN_RESET_DEFAULT,SYM_B06_47_UNWRITTEN_RESET_DEFAULT,SYM_B08_47_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x50,0x84,SYM_B07_50_UNWRITTEN_RESET_DEFAULT,SYM_B06_50_UNWRITTEN_RESET_DEFAULT,SYM_B08_50_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x56,0x00,SYM_B07_56_UNWRITTEN_RESET_DEFAULT,SYM_B06_56_UNWRITTEN_RESET_DEFAULT,SYM_B08_56_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x57,0x00,SYM_B07_57_UNWRITTEN_RESET_DEFAULT,SYM_B06_57_UNWRITTEN_RESET_DEFAULT,SYM_B08_57_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x58,0x00,SYM_B07_58_UNWRITTEN_RESET_DEFAULT,SYM_B06_58_UNWRITTEN_RESET_DEFAULT,SYM_B08_58_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_3_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x59,0x00,SYM_B07_59_UNWRITTEN_RESET_DEFAULT,SYM_B06_59_UNWRITTEN_RESET_DEFAULT,SYM_B08_59_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_4_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x5B,0x03,SYM_B07_5B_UNWRITTEN_RESET_DEFAULT,SYM_B06_5B_UNWRITTEN_RESET_DEFAULT,SYM_B08_5B_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x5F,0x70,SYM_B07_5F_UNWRITTEN_RESET_DEFAULT,SYM_B06_5F_UNWRITTEN_RESET_DEFAULT,SYM_B08_5F_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x64,0x00,SYM_B07_64_UNWRITTEN_RESET_DEFAULT,SYM_B06_64_UNWRITTEN_RESET_DEFAULT,SYM_B08_64_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x69,0x00,SYM_B07_69_UNWRITTEN_RESET_DEFAULT,SYM_B06_69_UNWRITTEN_RESET_DEFAULT,SYM_B08_69_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x6E,0x00,SYM_B07_6E_UNWRITTEN_RESET_DEFAULT,SYM_B06_6E_UNWRITTEN_RESET_DEFAULT,SYM_B08_6E_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x6F,0x00,SYM_B07_6F_UNWRITTEN_RESET_DEFAULT,SYM_B06_6F_UNWRITTEN_RESET_DEFAULT,SYM_B08_6F_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x76,0x01,SYM_B07_76_UNWRITTEN_RESET_DEFAULT,SYM_B06_76_UNWRITTEN_RESET_DEFAULT,SYM_B08_76_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x84,0x00,SYM_B07_84_UNWRITTEN_RESET_DEFAULT,SYM_B06_84_UNWRITTEN_RESET_DEFAULT,SYM_B08_84_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x86,0x00,SYM_B07_86_UNWRITTEN_RESET_DEFAULT,SYM_B06_86_UNWRITTEN_RESET_DEFAULT,SYM_B08_86_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x90,0x0D,SYM_B07_90_UNWRITTEN_RESET_DEFAULT,SYM_B06_90_UNWRITTEN_RESET_DEFAULT,SYM_B08_90_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x9B,0x80,SYM_B07_9B_UNWRITTEN_RESET_DEFAULT,SYM_B06_9B_UNWRITTEN_RESET_DEFAULT,SYM_B08_9B_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xB5,0x00,SYM_B07_B5_UNWRITTEN_RESET_DEFAULT,SYM_B06_B5_UNWRITTEN_RESET_DEFAULT,SYM_B08_B5_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xB7,0xFF,SYM_B07_B7_UNWRITTEN_RESET_DEFAULT,SYM_B06_B7_UNWRITTEN_RESET_DEFAULT,SYM_B08_B7_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xB8,0xB8,SYM_B07_B8_UNWRITTEN_RESET_DEFAULT,SYM_B06_B8_UNWRITTEN_RESET_DEFAULT,SYM_B08_B8_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xBB,0xB8,SYM_B07_BB_UNWRITTEN_RESET_DEFAULT,SYM_B06_BB_UNWRITTEN_RESET_DEFAULT,SYM_B08_BB_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xC8,0x04,SYM_B07_C8_UNWRITTEN_RESET_DEFAULT,SYM_B06_C8_UNWRITTEN_RESET_DEFAULT,SYM_B08_C8_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0xD1,0x20,SYM_B07_D1_UNWRITTEN_RESET_DEFAULT,SYM_B06_D1_UNWRITTEN_RESET_DEFAULT,SYM_B08_D1_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
