Rule,Severity,Clock_Pair,Exception,Source,Destination,Classification,Semantic_Family,Result,Evidence,Change
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[44]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[2]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[45]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[3]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[46]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[4]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[47]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[5]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[48]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[6]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[49]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[7]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[50]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[8]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[51]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[9]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[52]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[10]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[53]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[11]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[54]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[12]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[55]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[13]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[56]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[14]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[57]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[15]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[58]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[16]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[59]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[17]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[60]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[18]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[61]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[19]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[62]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[20]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[63]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[21]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[64]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[22]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[65]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[23]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[66]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[24]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[67]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[25]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[68]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[26]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[69]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[27]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[70]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[28]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[71]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[29]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[72]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[30]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[73]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[31]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[2]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_clear_errors_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[5]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_line_count_requested_reg[0]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[6]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_line_count_requested_reg[1]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[7]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_line_count_requested_reg[2]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[8]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_line_count_requested_reg[3]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[9]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_line_count_requested_reg[4]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[3]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_single_line_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[10]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[0]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[11]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[1]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[12]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[2]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[13]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[3]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[14]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[4]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[15]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[5]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[16]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[6]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[17]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[7]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[18]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[8]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[19]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[9]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[20]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[10]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[21]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[11]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[22]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[12]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[23]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_target_line_reg[13]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
