Group,Bank,Register,ChannelScope,Meaning,ReadSafe,ReadSideEffect,WriteUsedByReference,NVP6134CDataSheetPage,NVP6134DataSheetPage,ReferenceFile,ReferenceFunction,CurrentV41Use,HardwareConfirmed,AuthorityClass,Confidence,SCAN1Disposition,InterpretationUnresolved
G0-LOCK,0x00,0x7B,CHIP_OR_PACKED_CHANNELS,channel 3/4 data-out mode,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,40;59,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0xE8,CH1,FSC change/color-kill/FSC-lock/NOVID packed status,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;66,corresponding Rev0.3 register table or private driver semantic,video.c,status helpers,DIAG1_CHANNEL_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x81,CH1,SD/AHD mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,41;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x85,CH1,special-mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,43;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x23,CH1,YC/color-kill configuration readback,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,38;58,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0xE9,CH2,FSC change/color-kill/FSC-lock/NOVID packed status,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;66,corresponding Rev0.3 register table or private driver semantic,video.c,status helpers,DIAG1_CHANNEL_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x82,CH2,SD/AHD mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,41;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x86,CH2,special-mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,43;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x27,CH2,YC/color-kill configuration readback,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,38;58,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0xEA,CH3,FSC change/color-kill/FSC-lock/NOVID packed status,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;66,corresponding Rev0.3 register table or private driver semantic,video.c,status helpers,DIAG1_CHANNEL_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x83,CH3,SD/AHD mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,41;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x87,CH3,special-mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,43;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x2B,CH3,YC/color-kill configuration readback,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,38;58,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0xEB,CH4,FSC change/color-kill/FSC-lock/NOVID packed status,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;66,corresponding Rev0.3 register table or private driver semantic,video.c,status helpers,DIAG1_CHANNEL_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x84,CH4,SD/AHD mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,41;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x88,CH4,special-mode selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,43;60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-CH,0x00,0x2F,CH4,YC/color-kill configuration readback,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,38;58,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x97,PACKED_CHANNELS,channel reset/power control,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,AUTOINIT_CONFIG,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x98,PACKED_CHANNELS,channel reset/power control,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,AUTOINIT_CONFIG,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x84,CH1,ADC clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x8C,CH1,pre/decoder clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x85,CH2,ADC clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x8D,CH2,pre/decoder clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x86,CH3,ADC clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x8E,CH3,pre/decoder clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x87,CH4,ADC clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G1,0x01,0x8F,CH4,pre/decoder clock selection,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,44;87,corresponding Rev0.3 register table or private driver semantic,video.c,video_fmt_det/set-channel,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G2,0x05,0xF0,CH1,raw video-format classifier,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,88,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G2,0x05,0xF2,CH1,format conversion auxiliary,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xF3,CH1,special-format discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xF4,CH1,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xF5,CH1,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xE2,CH1,ACC gain high byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xE3,CH1,ACC gain low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xE8,CH1,Y-plus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xE9,CH1,Y-plus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xEA,CH1,Y-minus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G2,0x05,0xEB,CH1,Y-minus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xF0,CH2,raw video-format classifier,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,88,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G3,0x06,0xF2,CH2,format conversion auxiliary,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xF3,CH2,special-format discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xF4,CH2,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xF5,CH2,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xE2,CH2,ACC gain high byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xE3,CH2,ACC gain low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xE8,CH2,Y-plus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xE9,CH2,Y-plus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xEA,CH2,Y-minus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G3,0x06,0xEB,CH2,Y-minus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xF0,CH3,raw video-format classifier,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,88,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
