sequence_number,reference_function,reference_source_location,clean_room_action_phase,bank,register,operation_type,write_value_or_mask,preserved_bits,required_initial_value,expected_readback,fixed_delay_ms,condition,reason,included_excluded_decision,rollback_operation,rollback_readback
11,video_fmt_det,video.c:676,FHD_PRECONDITION,0x00,0x81,WRITE,0x03,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,pre_fmt for 0x31,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
12,video_fmt_det,video.c:677,FHD_PRECONDITION,0x00,0x85,WRITE,0x02,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,special mode,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
13,video_fmt_det,video.c:679,FHD_PRECONDITION,0x01,0xFF,BANK_SELECT,0x01,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select Bank1,INCLUDED,NO_REGISTER_ROLLBACK,N/A
14,video_fmt_det,video.c:680,FHD_PRECONDITION,0x01,0x84,WRITE,0x04,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,ADC clock delay,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
15,video_fmt_det,video.c:681,FHD_PRECONDITION,0x01,0x8C,WRITE,0xE5,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,decoder pre-clock,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
16,video_fmt_det,video.c:700,FHD_PRECONDITION,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select CH1 private bank,INCLUDED,NO_REGISTER_ROLLBACK,N/A
17,video_fmt_det,video.c:701,FHD_PRECONDITION,0x05,0x24,WRITE,0x18,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,burst value selection,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
18,video_fmt_det,video.c:702,FHD_PRECONDITION,0x05,0x58,WRITE,0xD3,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,analog EQ precondition,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
19,video_fmt_det,video.c:704,FHD_PRECONDITION,0x05,0x27,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,diagnostic ACC reference read,INCLUDED,NO_REGISTER_ROLLBACK,N/A
20,video_fmt_det,video.c:706,FHD_PRECONDITION,N/A,N/A,DELAY,N/A,NONE,N/A,OBSERVATION_OR_DECISION,50,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,settle,INCLUDED,NO_REGISTER_ROLLBACK,N/A
21,video_fmt_det,video.c:707,FHD_PRECONDITION,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,reselect CH1 private bank,INCLUDED,NO_REGISTER_ROLLBACK,N/A
22,video_fmt_det,video.c:708,FHD_PRECONDITION,0x05,0x90,WRITE,0x05,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,comb mode,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
23,video_fmt_det,video.c:709,FHD_PRECONDITION,N/A,N/A,DELAY,N/A,NONE,N/A,OBSERVATION_OR_DECISION,100,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,settle,INCLUDED,NO_REGISTER_ROLLBACK,N/A
24,GetYPlusSlope,eq_common.c:2629-2632,METRICS,0x05,0xE8/0xE9,READ16_MASKED,high&0x07;low,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,Y-plus slope,INCLUDED,NO_REGISTER_ROLLBACK,N/A
25,GetYMinusSlope,eq_common.c:2648-2651,METRICS,0x05,0xEA/0xEB,READ16_MASKED,high&0x07;low,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,Y-minus slope,INCLUDED,NO_REGISTER_ROLLBACK,N/A
26,distinguish_GetAccGain,eq_common.c:5054-5057,METRICS,0x05,0xE2/0xE3,READ16,high;low,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,ACC gain,INCLUDED,NO_REGISTER_ROLLBACK,N/A
27,video_fmt_det,video.c:757-771,DECISION,N/A,N/A,EVALUATE,AHD iff Y+>=80 and Y->=80 and ACC>2010; else CVI,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,exact FHD AHD/CVI predicate,INCLUDED,NO_REGISTER_ROLLBACK,N/A
28,video_fmt_det,video.c:794,REFERENCE_POSTLUDE,0x09,0xFF,BANK_SELECT,0x09,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select Bank9,INCLUDED,NO_REGISTER_ROLLBACK,N/A
29,video_fmt_det,video.c:795,REFERENCE_POSTLUDE,0x09,0x80,WRITE,0x00,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,DEQ0 off,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
30,video_fmt_det,video.c:796,REFERENCE_POSTLUDE,0x09,0x81,WRITE,0x00,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,DEQ1 off,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
31,video_fmt_det,video.c:797,REFERENCE_POSTLUDE,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select CH1 private bank,INCLUDED,NO_REGISTER_ROLLBACK,N/A
32,video_fmt_det,video.c:798,REFERENCE_POSTLUDE,0x05,0x58,WRITE,0x03,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,EXACT_OR_MASKED_READBACK_REQUIRED,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,AEQ default/off,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
